LOCATION,TIME,Value
NZL,2018,1.592828
NZL,2019,-1.022034
NZL,2020,0.326171
NZL,2021,1.578676
NZL,2022,-1.278205
PRT,1985,3.032413
PRT,1986,3.933416
PRT,1987,3.035122
PRT,1988,4.627314
PRT,1989,3.080346
PRT,1990,1.614471
PRT,1991,3.473985
PRT,1992,1.482454
PRT,1993,-1.618792
PRT,1994,-0.383287
PRT,1995,0.963987
PRT,1996,0.976335
PRT,1997,1.127686
PRT,1998,0.178101
PRT,1999,0.74966
PRT,2000,-0.151849
PRT,2001,-0.427893
PRT,2002,-0.71376
PRT,2003,-1.186443
PRT,2004,0.843259
PRT,2005,-0.111415
PRT,2006,0.658134
PRT,2007,0.568576
PRT,2008,-0.733395
PRT,2009,-2.217183
PRT,2010,1.613434
PRT,2011,-0.145128
PRT,2012,-0.923545
PRT,2013,0.493534
PRT,2014,-0.687525
PRT,2015,0.235972
PRT,2016,0.333494
PRT,2017,1.050096
PRT,2018,0.078092
PRT,2019,1.124462
PRT,2020,-1.933094
PRT,2021,1.341218
PRT,2022,4.827487
ESP,1985,2.848258
ESP,1986,0.98432
ESP,1987,1.133482
ESP,1988,1.253138
ESP,1989,1.033768
ESP,1990,-0.649083
ESP,1991,-0.116232
ESP,1992,1.248504
ESP,1993,0.821605
ESP,1994,1.990975
ESP,1995,0.341933
ESP,1996,0.492506
ESP,1997,-0.360227
ESP,1998,-0.624191
ESP,1999,-0.655946
ESP,2000,0.168448
ESP,2001,-0.29227
ESP,2002,-0.479362
ESP,2003,-0.350812
ESP,2004,-0.295093
ESP,2005,-0.155233
ESP,2006,-0.005988
ESP,2007,0.168893
ESP,2008,-1.047592
ESP,2009,-0.306955
ESP,2010,0.858704
ESP,2011,-0.025215
ESP,2012,-0.289675
ESP,2013,0.006957
ESP,2014,0.157427
ESP,2015,1.122521
ESP,2016,0.671266
ESP,2017,0.939345
ESP,2018,-0.021809
ESP,2019,0.470284
ESP,2020,-3.271219
ESP,2021,-0.031494
ESP,2022,1.974979
SWE,1985,-0.302652
SWE,1986,0.852899
SWE,1987,0.73656
SWE,1988,-0.914767
SWE,1989,-0.150353
SWE,1990,-1.306381
SWE,1991,-0.692036
SWE,1992,0.267471
SWE,1993,-0.050377
SWE,1994,1.931865
SWE,1995,1.385225
SWE,1996,0.395213
SWE,1997,2.490038
SWE,1998,1.549665
SWE,1999,0.633431
SWE,2000,2.017637
SWE,2001,-0.483218
SWE,2002,2.103121
SWE,2003,2.117392
SWE,2004,2.581963
SWE,2005,1.593206
SWE,2006,2.137393
SWE,2007,-0.007278
SWE,2008,-2.514448
SWE,2009,-2.846907
SWE,2010,3.564001
SWE,2011,0.720387
SWE,2012,-1.229045
SWE,2013,0.251858
SWE,2014,0.881227
SWE,2015,2.265145
SWE,2016,-0.761406
SWE,2017,0.206195
SWE,2018,-0.172076
SWE,2019,1.322614
SWE,2020,-0.895357
SWE,2021,2.243345
SWE,2022,-0.380809
CHE,1992,-0.730318
CHE,1993,-0.566165
CHE,1994,-0.238709
CHE,1995,0.131787
CHE,1996,0.452854
CHE,1997,1.456284
CHE,1998,0.173351
CHE,1999,-1.456574
CHE,2000,1.839934
CHE,2001,0.67548
CHE,2002,-0.958126
CHE,2003,-1.346952
CHE,2004,0.140147
CHE,2005,1.361001
CHE,2006,1.715295
CHE,2007,1.071777
CHE,2008,0.196791
CHE,2009,-3.172886
CHE,2010,2.047011
CHE,2011,-0.59897
CHE,2012,-0.249626
CHE,2013,1.032758
CHE,2014,0.64913
CHE,2015,-0.711165
CHE,2016,0.371097
CHE,2017,0.761449
CHE,2018,1.821837
CHE,2019,0.149248
CHE,2020,-0.286453
CHE,2021,1.518376
CHE,2022,0.340347
GBR,1985,0.969677
GBR,1986,1.875155
GBR,1987,3.003974
GBR,1988,-0.104111
GBR,1989,-0.516708
GBR,1990,-0.565719
GBR,1991,-0.426512
GBR,1992,1.778891
GBR,1993,1.965832
GBR,1994,1.3788
GBR,1995,0.42299
GBR,1996,0.265005
GBR,1997,2.815458
GBR,1998,2.175952
